date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:04:03	3891/3891	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2020%20Aug%202023%2007:34:00%20GMT	https://theme.dsngrid.com/robots.txt		(from )
13:04:03	170513/170513	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20May%202023%2017:06:41%20GMT	https://theme.dsngrid.com/blackdsn/dark/	G:/Music/ai/theme.dsngrid.com/blackdsn/dark/index.html	(from )
13:04:04	942/942	---M--	200	added ('OK')	image/png	date:Thu,%2018%20May%202023%2017:07:29%20GMT	https://theme.dsngrid.com/blackdsn/dark/assets/img/logo-32x32.png	G:/Music/ai/theme.dsngrid.com/blackdsn/dark/assets/img/logo-32x32.png	(from https://theme.dsngrid.com/blackdsn/dark/)
13:04:04	10039/10039	---M--	200	added ('OK')	image/png	date:Thu,%2018%20May%202023%2017:07:29%20GMT	https://theme.dsngrid.com/blackdsn/dark/assets/img/logo-192x192.png	G:/Music/ai/theme.dsngrid.com/blackdsn/dark/assets/img/logo-192x192.png	(from https://theme.dsngrid.com/blackdsn/dark/)
13:04:05	848/848	---M-Z	200	added ('OK')	text/css	date:Thu,%2018%20May%202023%2017:07:00%20GMT	https://theme.dsngrid.com/blackdsn/dark/assets/css/plugins.css	G:/Music/ai/theme.dsngrid.com/blackdsn/dark/assets/css/plugins.css	(from https://theme.dsngrid.com/blackdsn/dark/)
13:04:06	184430/184430	---M-Z	200	added ('OK')	text/css	date:Thu,%2018%20May%202023%2017:07:01%20GMT	https://theme.dsngrid.com/blackdsn/dark/assets/css/style.css	G:/Music/ai/theme.dsngrid.com/blackdsn/dark/assets/css/style.css	(from https://theme.dsngrid.com/blackdsn/dark/)
13:04:07	5368/5368	---M--	200	added ('OK')	image/png	date:Thu,%2018%20May%202023%2017:07:29%20GMT	https://theme.dsngrid.com/blackdsn/dark/assets/img/logo-light.png	G:/Music/ai/theme.dsngrid.com/blackdsn/dark/assets/img/logo-light.png	(from https://theme.dsngrid.com/blackdsn/dark/)
13:04:08	5442/5442	---M--	200	added ('OK')	image/png	date:Thu,%2018%20May%202023%2017:07:30%20GMT	https://theme.dsngrid.com/blackdsn/dark/assets/img/logo.png	G:/Music/ai/theme.dsngrid.com/blackdsn/dark/assets/img/logo.png	(from https://theme.dsngrid.com/blackdsn/dark/)
13:04:09	170513/170513	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20May%202023%2017:06:41%20GMT	https://theme.dsngrid.com/blackdsn/dark/index.html	G:/Music/ai/theme.dsngrid.com/blackdsn/dark/index-2.html	(from https://theme.dsngrid.com/blackdsn/dark/)
13:04:11	135250/135250	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20May%202023%2017:06:31%20GMT	https://theme.dsngrid.com/blackdsn/dark/business.html	G:/Music/ai/theme.dsngrid.com/blackdsn/dark/business.html	(from https://theme.dsngrid.com/blackdsn/dark/)
